Altior;2017-05-12 10:37:00;2884;1;142;75;31;3
Paceum;2017-05-12 10:37:00;6059;26;1578;800;264;48
Vitios;2017-05-12 10:37:00;2260;15;449;215;85;20
Golunar;2017-05-12 10:37:00;1091;1;101;44;10;1
Incenas;2017-05-12 10:37:00;1013;1;120;51;5;1
Tranum;2017-05-12 10:37:00;1444;9;380;182;53;13
Sarenus;2017-05-12 10:37:01;1348;0;247;119;30;0
Lopius;2017-05-12 10:37:01;475;0;106;43;6;0
Novus;2017-05-12 10:37:01;3369;2;134;73;20;2
Bonium;2017-05-12 10:37:01;772;0;143;63;25;1
Altior;2017-05-12 10:40:40;2884;2;142;75;31;3
Paceum;2017-05-12 10:40:40;6059;26;1578;800;264;49
Vitios;2017-05-12 10:40:40;2260;15;449;215;85;19
Golunar;2017-05-12 10:40:41;1091;1;101;44;10;1
Incenas;2017-05-12 10:40:42;1013;1;120;51;5;1
Tranum;2017-05-12 10:40:42;1444;8;380;182;53;13
Sarenus;2017-05-12 10:40:43;1348;0;247;119;30;0
Lopius;2017-05-12 10:40:43;475;0;106;43;6;0
Novus;2017-05-12 10:40:43;3369;2;134;73;20;2
Bonium;2017-05-12 10:40:44;772;0;143;63;25;0
Altior;2017-05-12 10:40:45;2884;3;142;75;31;4
Paceum;2017-05-12 10:40:45;6059;26;1578;800;264;49
Vitios;2017-05-12 10:40:45;2260;15;449;215;85;19
Golunar;2017-05-12 10:40:45;1091;1;101;44;10;1
Incenas;2017-05-12 10:40:45;1013;1;120;51;5;1
Tranum;2017-05-12 10:40:46;1444;8;380;182;53;13
Sarenus;2017-05-12 10:40:46;1348;0;247;119;30;0
Lopius;2017-05-12 10:40:46;475;0;106;43;6;0
Novus;2017-05-12 10:40:46;3369;2;134;73;20;2
Bonium;2017-05-12 10:40:46;772;0;143;63;25;0
Altior;2017-05-12 10:40:50;2884;3;142;75;31;4
Paceum;2017-05-12 10:40:50;6059;26;1578;800;264;49
Vitios;2017-05-12 10:40:50;2260;15;449;215;85;19
Golunar;2017-05-12 10:40:50;1091;1;101;44;10;1
Incenas;2017-05-12 10:40:50;1013;1;120;51;5;1
Tranum;2017-05-12 10:40:51;1444;8;380;182;53;13
Sarenus;2017-05-12 10:40:51;1348;0;247;119;30;0
Lopius;2017-05-12 10:40:51;475;0;106;43;6;0
Novus;2017-05-12 10:40:51;3369;2;134;73;20;2
Bonium;2017-05-12 10:40:51;772;0;143;63;25;0
Altior;2017-05-12 10:43:50;2884;3;142;75;31;4
Paceum;2017-05-12 10:43:50;6059;25;1578;800;264;48
Vitios;2017-05-12 10:43:50;2261;14;450;216;86;20
Golunar;2017-05-12 10:43:50;1091;1;101;44;10;1
Incenas;2017-05-12 10:43:51;1013;1;120;51;5;1
Tranum;2017-05-12 10:43:52;1444;8;380;182;53;13
Sarenus;2017-05-12 10:43:53;1348;0;247;119;30;0
Lopius;2017-05-12 10:43:53;475;0;106;43;6;0
Novus;2017-05-12 10:43:53;3369;2;134;73;20;2
Bonium;2017-05-12 10:43:54;772;0;143;63;25;0
Altior;2017-05-12 10:43:55;2884;3;142;75;31;4
Paceum;2017-05-12 10:43:55;6059;25;1578;800;264;48
Vitios;2017-05-12 10:43:55;2261;14;450;216;86;20
Golunar;2017-05-12 10:43:55;1091;1;101;44;10;1
Incenas;2017-05-12 10:43:55;1013;1;120;51;5;1
Tranum;2017-05-12 10:43:56;1444;8;380;182;53;13
Sarenus;2017-05-12 10:43:56;1348;0;247;119;30;0
Lopius;2017-05-12 10:43:56;475;0;106;43;6;0
Novus;2017-05-12 10:43:56;3369;2;134;73;20;2
Bonium;2017-05-12 10:43:56;772;0;143;63;25;0
Altior;2017-05-12 10:44:00;2884;3;142;75;31;4
Paceum;2017-05-12 10:44:00;6059;25;1578;800;264;48
Vitios;2017-05-12 10:44:00;2261;14;450;216;86;20
Golunar;2017-05-12 10:44:00;1091;1;101;44;10;1
Incenas;2017-05-12 10:44:01;1013;1;120;51;5;1
Tranum;2017-05-12 10:44:01;1444;8;380;182;53;13
Sarenus;2017-05-12 10:44:02;1348;0;247;119;30;0
Lopius;2017-05-12 10:44:02;475;0;106;43;6;0
Novus;2017-05-12 10:44:02;3369;2;134;73;20;2
Bonium;2017-05-12 10:44:03;772;0;143;63;25;0
Altior;2017-05-12 10:44:05;2884;3;142;75;31;4
Paceum;2017-05-12 10:44:05;6059;25;1578;800;264;48
Vitios;2017-05-12 10:44:05;2261;14;450;216;86;20
Golunar;2017-05-12 10:44:05;1091;1;101;44;10;1
Incenas;2017-05-12 10:44:05;1013;1;120;51;5;1
Tranum;2017-05-12 10:44:06;1444;8;380;182;53;13
Sarenus;2017-05-12 10:44:06;1348;0;247;119;30;0
Lopius;2017-05-12 10:44:06;475;0;106;43;6;0
Novus;2017-05-12 10:44:06;3369;2;134;73;20;2
Bonium;2017-05-12 10:44:06;772;0;143;63;25;0
